Hour,Day-of-Week,Year,Month,Day,Vehicles
0,6,2023,1,1,15.0
1,6,2023,1,1,14.0
2,6,2023,1,1,13.0
3,6,2023,1,1,10.0
4,6,2023,1,1,8.0
5,6,2023,1,1,8.0
6,6,2023,1,1,10.0
7,6,2023,1,1,10.0
8,6,2023,1,1,9.0
9,6,2023,1,1,13.0
10,6,2023,1,1,22.0
11,6,2023,1,1,21.0
12,6,2023,1,1,20.0
13,6,2023,1,1,18.0
14,6,2023,1,1,16.0
15,6,2023,1,1,17.0
16,6,2023,1,1,17.0
17,6,2023,1,1,17.0
18,6,2023,1,1,18.0
19,6,2023,1,1,22.0
20,6,2023,1,1,22.0
21,6,2023,1,1,21.0
22,6,2023,1,1,21.0
23,6,2023,1,1,20.0
0,0,2023,1,2,16.0
1,0,2023,1,2,15.0
2,0,2023,1,2,11.0
3,0,2023,1,2,8.0
4,0,2023,1,2,8.0
5,0,2023,1,2,7.0
6,0,2023,1,2,7.0
7,0,2023,1,2,8.0
8,0,2023,1,2,10.0
9,0,2023,1,2,23.0
10,0,2023,1,2,11.0
11,0,2023,1,2,11.0
12,0,2023,1,2,13.0
13,0,2023,1,2,12.0
14,0,2023,1,2,13.0
15,0,2023,1,2,17.0
16,0,2023,1,2,18.0
17,0,2023,1,2,16.0
18,0,2023,1,2,16.0
19,0,2023,1,2,18.0
20,0,2023,1,2,17.0
21,0,2023,1,2,18.0
22,0,2023,1,2,17.0
23,0,2023,1,2,18.0
0,1,2023,1,3,18.0
1,1,2023,1,3,17.0
2,1,2023,1,3,17.0
3,1,2023,1,3,16.0
4,1,2023,1,3,13.0
5,1,2023,1,3,13.0
6,1,2023,1,3,14.0
7,1,2023,1,3,15.0
8,1,2023,1,3,19.0
9,1,2023,1,3,22.0
10,1,2023,1,3,30.0
11,1,2023,1,3,32.0
12,1,2023,1,3,33.0
13,1,2023,1,3,28.0
14,1,2023,1,3,31.0
15,1,2023,1,3,31.0
16,1,2023,1,3,30.0
17,1,2023,1,3,29.0
18,1,2023,1,3,31.0
19,1,2023,1,3,38.0
20,1,2023,1,3,36.0
21,1,2023,1,3,34.0
22,1,2023,1,3,32.0
23,1,2023,1,3,30.0
0,2,2023,1,4,22.0
1,2,2023,1,4,20.0
2,2,2023,1,4,19.0
3,2,2023,1,4,17.0
4,2,2023,1,4,15.0
5,2,2023,1,4,15.0
6,2,2023,1,4,15.0
7,2,2023,1,4,15.0
8,2,2023,1,4,19.0
9,2,2023,1,4,25.0
10,2,2023,1,4,35.0
11,2,2023,1,4,37.0
12,2,2023,1,4,35.0
13,2,2023,1,4,29.0
14,2,2023,1,4,31.0
15,2,2023,1,4,32.0
16,2,2023,1,4,31.0
17,2,2023,1,4,30.0
18,2,2023,1,4,32.0
19,2,2023,1,4,37.0
20,2,2023,1,4,35.0
21,2,2023,1,4,34.0
22,2,2023,1,4,32.0
23,2,2023,1,4,29.0
0,3,2023,1,5,27.0
1,3,2023,1,5,22.0
2,3,2023,1,5,19.0
3,3,2023,1,5,17.0
4,3,2023,1,5,15.0
5,3,2023,1,5,15.0
6,3,2023,1,5,15.0
7,3,2023,1,5,16.0
8,3,2023,1,5,19.0
9,3,2023,1,5,21.0
10,3,2023,1,5,27.0
11,3,2023,1,5,29.0
12,3,2023,1,5,30.0
13,3,2023,1,5,25.0
14,3,2023,1,5,29.0
15,3,2023,1,5,30.0
16,3,2023,1,5,29.0
17,3,2023,1,5,28.0
18,3,2023,1,5,29.0
19,3,2023,1,5,33.0
20,3,2023,1,5,31.0
21,3,2023,1,5,30.0
22,3,2023,1,5,30.0
23,3,2023,1,5,27.0
0,4,2023,1,6,27.0
1,4,2023,1,6,23.0
2,4,2023,1,6,18.0
3,4,2023,1,6,17.0
4,4,2023,1,6,15.0
5,4,2023,1,6,16.0
6,4,2023,1,6,16.0
7,4,2023,1,6,16.0
8,4,2023,1,6,17.0
9,4,2023,1,6,27.0
10,4,2023,1,6,43.0
11,4,2023,1,6,42.0
12,4,2023,1,6,40.0
13,4,2023,1,6,32.0
14,4,2023,1,6,34.0
15,4,2023,1,6,34.0
16,4,2023,1,6,32.0
17,4,2023,1,6,31.0
18,4,2023,1,6,29.0
19,4,2023,1,6,31.0
20,4,2023,1,6,30.0
21,4,2023,1,6,30.0
22,4,2023,1,6,30.0
23,4,2023,1,6,29.0
0,5,2023,1,7,23.0
1,5,2023,1,7,22.0
2,5,2023,1,7,18.0
3,5,2023,1,7,16.0
4,5,2023,1,7,13.0
5,5,2023,1,7,11.0
6,5,2023,1,7,11.0
7,5,2023,1,7,13.0
8,5,2023,1,7,13.0
9,5,2023,1,7,16.0
10,5,2023,1,7,23.0
11,5,2023,1,7,21.0
12,5,2023,1,7,20.0
13,5,2023,1,7,20.0
14,5,2023,1,7,18.0
15,5,2023,1,7,20.0
16,5,2023,1,7,18.0
17,5,2023,1,7,19.0
18,5,2023,1,7,18.0
19,5,2023,1,7,22.0
20,5,2023,1,7,19.0
21,5,2023,1,7,21.0
22,5,2023,1,7,21.0
23,5,2023,1,7,20.0
0,6,2023,1,8,22.0
1,6,2023,1,8,22.0
2,6,2023,1,8,16.0
3,6,2023,1,8,12.0
4,6,2023,1,8,11.0
5,6,2023,1,8,10.0
6,6,2023,1,8,12.0
7,6,2023,1,8,12.0
8,6,2023,1,8,12.0
9,6,2023,1,8,16.0
10,6,2023,1,8,22.0
11,6,2023,1,8,21.0
12,6,2023,1,8,20.0
13,6,2023,1,8,19.0
14,6,2023,1,8,18.0
15,6,2023,1,8,19.0
16,6,2023,1,8,18.0
17,6,2023,1,8,20.0
18,6,2023,1,8,18.0
19,6,2023,1,8,23.0
20,6,2023,1,8,22.0
21,6,2023,1,8,22.0
22,6,2023,1,8,23.0
23,6,2023,1,8,21.0
0,0,2023,1,9,22.0
1,0,2023,1,9,18.0
2,0,2023,1,9,14.0
3,0,2023,1,9,13.0
4,0,2023,1,9,12.0
5,0,2023,1,9,13.0
6,0,2023,1,9,12.0
7,0,2023,1,9,15.0
8,0,2023,1,9,16.0
9,0,2023,1,9,28.0
10,0,2023,1,9,38.0
11,0,2023,1,9,39.0
12,0,2023,1,9,38.0
13,0,2023,1,9,32.0
14,0,2023,1,9,34.0
15,0,2023,1,9,34.0
16,0,2023,1,9,31.0
17,0,2023,1,9,33.0
18,0,2023,1,9,32.0
19,0,2023,1,9,33.0
20,0,2023,1,9,32.0
21,0,2023,1,9,33.0
22,0,2023,1,9,32.0
23,0,2023,1,9,27.0
0,1,2023,1,10,24.0
1,1,2023,1,10,20.0
2,1,2023,1,10,19.0
3,1,2023,1,10,15.0
4,1,2023,1,10,13.0
5,1,2023,1,10,12.0
6,1,2023,1,10,12.0
7,1,2023,1,10,15.0
8,1,2023,1,10,18.0
9,1,2023,1,10,26.0
10,1,2023,1,10,32.0
11,1,2023,1,10,33.0
12,1,2023,1,10,34.0
13,1,2023,1,10,30.0
14,1,2023,1,10,32.0
15,1,2023,1,10,31.0
16,1,2023,1,10,29.0
17,1,2023,1,10,31.0
18,1,2023,1,10,30.0
19,1,2023,1,10,32.0
20,1,2023,1,10,33.0
21,1,2023,1,10,33.0
22,1,2023,1,10,31.0
23,1,2023,1,10,29.0
0,2,2023,1,11,25.0
1,2,2023,1,11,20.0
2,2,2023,1,11,20.0
3,2,2023,1,11,16.0
4,2,2023,1,11,12.0
5,2,2023,1,11,13.0
6,2,2023,1,11,12.0
7,2,2023,1,11,15.0
8,2,2023,1,11,17.0
9,2,2023,1,11,29.0
10,2,2023,1,11,38.0
11,2,2023,1,11,39.0
12,2,2023,1,11,37.0
13,2,2023,1,11,31.0
14,2,2023,1,11,32.0
15,2,2023,1,11,32.0
16,2,2023,1,11,30.0
17,2,2023,1,11,31.0
18,2,2023,1,11,31.0
19,2,2023,1,11,31.0
20,2,2023,1,11,32.0
21,2,2023,1,11,31.0
22,2,2023,1,11,30.0
23,2,2023,1,11,27.0
0,3,2023,1,12,24.0
1,3,2023,1,12,20.0
2,3,2023,1,12,20.0
3,3,2023,1,12,17.0
4,3,2023,1,12,13.0
5,3,2023,1,12,13.0
6,3,2023,1,12,12.0
7,3,2023,1,12,15.0
8,3,2023,1,12,18.0
9,3,2023,1,12,23.0
10,3,2023,1,12,26.0
11,3,2023,1,12,27.0
12,3,2023,1,12,30.0
13,3,2023,1,12,27.0
14,3,2023,1,12,30.0
15,3,2023,1,12,30.0
16,3,2023,1,12,28.0
17,3,2023,1,12,27.0
18,3,2023,1,12,28.0
19,3,2023,1,12,29.0
20,3,2023,1,12,28.0
21,3,2023,1,12,28.0
22,3,2023,1,12,27.0
23,3,2023,1,12,26.0
0,4,2023,1,13,25.0
1,4,2023,1,13,20.0
2,4,2023,1,13,18.0
3,4,2023,1,13,16.0
4,4,2023,1,13,12.0
5,4,2023,1,13,13.0
6,4,2023,1,13,12.0
7,4,2023,1,13,15.0
8,4,2023,1,13,16.0
9,4,2023,1,13,27.0
10,4,2023,1,13,42.0
11,4,2023,1,13,40.0
12,4,2023,1,13,38.0
13,4,2023,1,13,33.0
14,4,2023,1,13,34.0
15,4,2023,1,13,34.0
16,4,2023,1,13,31.0
17,4,2023,1,13,30.0
18,4,2023,1,13,30.0
19,4,2023,1,13,30.0
20,4,2023,1,13,30.0
21,4,2023,1,13,29.0
22,4,2023,1,13,28.0
23,4,2023,1,13,28.0
0,5,2023,1,14,22.0
1,5,2023,1,14,19.0
2,5,2023,1,14,20.0
3,5,2023,1,14,18.0
4,5,2023,1,14,15.0
5,5,2023,1,14,15.0
6,5,2023,1,14,14.0
7,5,2023,1,14,14.0
8,5,2023,1,14,14.0
