Hour,Day-of-Week,Year,Month,Day,Vehicles
0,6,2023,1,1,5.0
1,6,2023,1,1,4.0
2,6,2023,1,1,5.0
3,6,2023,1,1,5.0
4,6,2023,1,1,5.0
5,6,2023,1,1,3.0
6,6,2023,1,1,6.0
7,6,2023,1,1,6.0
8,6,2023,1,1,4.0
9,6,2023,1,1,4.0
10,6,2023,1,1,6.0
11,6,2023,1,1,6.0
12,6,2023,1,1,5.0
13,6,2023,1,1,6.0
14,6,2023,1,1,6.0
15,6,2023,1,1,5.0
16,6,2023,1,1,6.0
17,6,2023,1,1,5.0
18,6,2023,1,1,6.0
19,6,2023,1,1,6.0
20,6,2023,1,1,8.0
21,6,2023,1,1,8.0
22,6,2023,1,1,8.0
23,6,2023,1,1,8.0
0,0,2023,1,2,8.0
1,0,2023,1,2,5.0
2,0,2023,1,2,4.0
3,0,2023,1,2,5.0
4,0,2023,1,2,4.0
5,0,2023,1,2,5.0
6,0,2023,1,2,7.0
7,0,2023,1,2,7.0
8,0,2023,1,2,6.0
9,0,2023,1,2,7.0
10,0,2023,1,2,10.0
11,0,2023,1,2,5.0
12,0,2023,1,2,5.0
13,0,2023,1,2,7.0
14,0,2023,1,2,6.0
15,0,2023,1,2,7.0
16,0,2023,1,2,8.0
17,0,2023,1,2,8.0
18,0,2023,1,2,7.0
19,0,2023,1,2,7.0
20,0,2023,1,2,7.0
21,0,2023,1,2,6.0
22,0,2023,1,2,8.0
23,0,2023,1,2,6.0
0,1,2023,1,3,10.0
1,1,2023,1,3,6.0
2,1,2023,1,3,6.0
3,1,2023,1,3,7.0
4,1,2023,1,3,7.0
5,1,2023,1,3,7.0
6,1,2023,1,3,6.0
7,1,2023,1,3,7.0
8,1,2023,1,3,5.0
9,1,2023,1,3,8.0
10,1,2023,1,3,9.0
11,1,2023,1,3,10.0
12,1,2023,1,3,10.0
13,1,2023,1,3,9.0
14,1,2023,1,3,10.0
15,1,2023,1,3,13.0
16,1,2023,1,3,11.0
17,1,2023,1,3,11.0
18,1,2023,1,3,8.0
19,1,2023,1,3,11.0
20,1,2023,1,3,11.0
21,1,2023,1,3,9.0
22,1,2023,1,3,11.0
23,1,2023,1,3,8.0
0,2,2023,1,4,10.0
1,2,2023,1,4,7.0
2,2,2023,1,4,6.0
3,2,2023,1,4,7.0
4,2,2023,1,4,5.0
5,2,2023,1,4,6.0
6,2,2023,1,4,5.0
7,2,2023,1,4,7.0
8,2,2023,1,4,6.0
9,2,2023,1,4,8.0
10,2,2023,1,4,9.0
11,2,2023,1,4,10.0
12,2,2023,1,4,10.0
13,2,2023,1,4,9.0
14,2,2023,1,4,10.0
15,2,2023,1,4,12.0
16,2,2023,1,4,11.0
17,2,2023,1,4,10.0
18,2,2023,1,4,8.0
19,2,2023,1,4,10.0
20,2,2023,1,4,10.0
21,2,2023,1,4,9.0
22,2,2023,1,4,10.0
23,2,2023,1,4,9.0
0,3,2023,1,5,10.0
1,3,2023,1,5,8.0
2,3,2023,1,5,8.0
3,3,2023,1,5,9.0
4,3,2023,1,5,6.0
5,3,2023,1,5,6.0
6,3,2023,1,5,5.0
7,3,2023,1,5,7.0
8,3,2023,1,5,6.0
9,3,2023,1,5,8.0
10,3,2023,1,5,9.0
11,3,2023,1,5,10.0
12,3,2023,1,5,12.0
13,3,2023,1,5,10.0
14,3,2023,1,5,11.0
15,3,2023,1,5,12.0
16,3,2023,1,5,12.0
17,3,2023,1,5,12.0
18,3,2023,1,5,9.0
19,3,2023,1,5,11.0
20,3,2023,1,5,11.0
21,3,2023,1,5,10.0
22,3,2023,1,5,10.0
23,3,2023,1,5,8.0
0,4,2023,1,6,10.0
1,4,2023,1,6,8.0
2,4,2023,1,6,7.0
3,4,2023,1,6,9.0
4,4,2023,1,6,5.0
5,4,2023,1,6,6.0
6,4,2023,1,6,6.0
7,4,2023,1,6,7.0
8,4,2023,1,6,7.0
9,4,2023,1,6,7.0
10,4,2023,1,6,9.0
11,4,2023,1,6,9.0
12,4,2023,1,6,10.0
13,4,2023,1,6,10.0
14,4,2023,1,6,10.0
15,4,2023,1,6,11.0
16,4,2023,1,6,11.0
17,4,2023,1,6,11.0
18,4,2023,1,6,9.0
19,4,2023,1,6,10.0
20,4,2023,1,6,10.0
21,4,2023,1,6,9.0
22,4,2023,1,6,9.0
23,4,2023,1,6,8.0
0,5,2023,1,7,8.0
1,5,2023,1,7,7.0
2,5,2023,1,7,7.0
3,5,2023,1,7,6.0
4,5,2023,1,7,7.0
5,5,2023,1,7,6.0
6,5,2023,1,7,6.0
7,5,2023,1,7,6.0
8,5,2023,1,7,6.0
9,5,2023,1,7,4.0
10,5,2023,1,7,4.0
11,5,2023,1,7,4.0
12,5,2023,1,7,4.0
13,5,2023,1,7,6.0
14,5,2023,1,7,6.0
15,5,2023,1,7,7.0
16,5,2023,1,7,8.0
17,5,2023,1,7,7.0
